valid_time,u10,v10,d2m,t2m,blh,cbh,sp,tcc,tp,latitude,longitude
2026-03-02 13:00:00,-1.750061,-0.3425293,284.1438,285.87097,486.06955,116.51767,100912.58,0.8346863,0.00025129318,45.5,9.25
2026-03-02 14:00:00,-2.044098,-0.85847473,283.99377,286.0354,616.0009,257.22455,100882.266,0.8411865,0.00022792816,45.5,9.25
2026-03-02 15:00:00,-2.146759,-1.2632141,283.77985,286.1508,444.48636,327.80826,100849.51,0.5697632,0.00041389465,45.5,9.25
2026-03-02 16:00:00,-1.9331818,-0.7519989,283.84534,286.00333,388.72888,360.39206,100853.88,0.5590515,0.0005502701,45.5,9.25
2026-03-02 17:00:00,-1.856842,-0.17530823,283.72455,285.01117,202.49673,404.83405,100878.64,0.5930786,0.00012874603,45.5,9.25
2026-03-02 18:00:00,-1.8947754,-0.10749817,283.16156,284.22504,105.78554,669.7707,100934.11,0.4267273,1.5735626e-05,45.5,9.25
2026-03-02 19:00:00,-1.8271179,-0.26507568,282.32172,283.66302,98.15655,774.72485,100975.875,0.4941101,9.536743e-07,45.5,9.25
2026-03-02 20:00:00,-1.464508,-0.7254181,281.44717,282.83307,72.75968,811.2367,101011.56,0.565979,2.861023e-06,45.5,9.25
2026-03-02 21:00:00,-1.0827026,-0.8232422,281.06146,282.79633,60.497517,711.7425,101060.484,0.57888794,7.6293945e-06,45.5,9.25
2026-03-02 22:00:00,-1.5038605,-1.0529175,281.0622,282.84634,113.17547,653.673,101068.7,0.7307129,2.1457672e-05,45.5,9.25
2026-03-02 23:00:00,-1.1995392,-0.79039,281.1344,282.93292,80.485596,667.1952,101104.7,0.7183838,2.2411346e-05,45.5,9.25
2026-03-03 00:00:00,-1.3913116,-0.64707947,280.9382,282.58673,68.070244,390.7155,101091.34,0.6725769,1.5258789e-05,45.5,9.25
2026-03-03 01:00:00,-1.3820801,-0.66064453,280.53723,282.36584,51.929825,390.46832,101102.17,0.6589966,1.1920929e-05,45.5,9.25
2026-03-03 02:00:00,-1.0375061,-0.78315735,280.21277,282.23172,47.110245,406.95978,101104.016,0.46783447,1.1444092e-05,45.5,9.25
2026-03-03 03:00:00,-1.0285034,-0.99842834,280.01376,282.31757,26.307983,283.4019,101104.09,0.40344238,4.4345856e-05,45.5,9.25
2026-03-03 04:00:00,-0.44056702,-0.08894348,279.64304,281.79294,16.255644,356.12262,101146.65,0.48660278,0.00011539459,45.5,9.25
2026-03-03 05:00:00,0.685318,-0.20852661,278.976,281.1037,19.217321,336.7448,101144.3,0.576416,9.393692e-05,45.5,9.25
2026-03-03 06:00:00,0.26887512,-0.6721344,278.5115,280.96854,18.710062,226.13002,101167.484,0.7351074,0.00010061264,45.5,9.25
2026-03-03 07:00:00,0.09043884,-0.6675873,278.94757,280.9949,19.885962,255.21832,101189.95,0.5627136,3.9100647e-05,45.5,9.25
2026-03-03 08:00:00,-0.20283508,-0.21141052,280.4687,283.01178,89.56562,309.69012,101218.2,0.63150024,1.9073486e-06,45.5,9.25
2026-03-03 09:00:00,-0.41653442,0.40829468,281.94394,284.85138,306.0078,433.73688,101246.125,0.4890747,0.0,45.5,9.25
2026-03-03 10:00:00,-0.75315857,0.86746216,281.47894,285.3745,388.85858,506.1194,101236.74,0.522522,6.866455e-05,45.5,9.25
2026-03-03 11:00:00,-0.8482666,0.74324036,283.20038,288.77527,426.6448,714.5189,101221.63,0.54122925,0.00010204315,45.5,9.25
2026-03-03 12:00:00,-0.6326599,0.5993042,282.34897,288.98547,579.7104,823.4252,101199.09,0.5133667,7.343292e-05,45.5,9.25
2026-03-03 13:00:00,-0.6515808,0.470932,281.88623,289.1101,712.4572,871.4576,101123.83,0.6208496,4.5776367e-05,45.5,9.25
2026-03-03 14:00:00,-0.7689972,0.22254944,281.85596,289.16003,758.4968,942.4362,101072.77,0.44158936,2.7656555e-05,45.5,9.25
2026-03-03 15:00:00,-0.63705444,0.621933,281.87164,289.1456,655.12646,1019.97455,101030.445,0.19128418,3.0040741e-05,45.5,9.25
2026-03-03 16:00:00,-0.57247925,1.2481995,281.72327,288.6041,274.93097,1098.612,101028.05,0.23529053,3.8146973e-06,45.5,9.25
2026-03-03 17:00:00,-0.6804199,1.4080505,282.84064,286.8083,123.57883,1161.2357,101053.42,0.25457764,0.0,45.5,9.25
2026-03-03 18:00:00,-0.97190857,1.1644897,281.49078,284.79968,68.066345,1922.2693,101075.67,0.2347107,0.0,45.5,9.25
2026-03-03 19:00:00,-1.5738373,0.36260986,280.91486,283.16885,49.59504,768.3188,101137.53,0.21478271,0.0,45.5,9.25
2026-03-03 20:00:00,-1.8140564,-0.04034424,280.5407,282.5435,54.617073,662.87415,101178.42,0.2854309,0.0,45.5,9.25
2026-03-03 21:00:00,-1.7936707,-0.3558197,280.28253,282.06845,63.486675,621.16943,101221.01,0.4390869,0.0,45.5,9.25
2026-03-03 22:00:00,-2.1104279,-0.19078064,280.6264,282.58405,84.30472,600.96924,101198.34,0.59243774,4.7683716e-07,45.5,9.25
2026-03-03 23:00:00,-1.7524872,-0.42251587,280.1754,282.05914,59.531166,582.5187,101222.17,0.51623535,4.7683716e-07,45.5,9.25
2026-03-04 00:00:00,-1.3713684,-0.4967041,279.72513,281.53882,39.49646,543.46594,101206.59,0.57559204,0.0,45.5,9.25
2026-03-04 01:00:00,-1.172226,-0.79582214,279.15375,281.05084,39.537083,531.09705,101196.2,0.61505127,0.0,45.5,9.25
2026-03-04 02:00:00,-1.0511322,-1.303299,278.83282,280.72784,43.83997,519.8431,101160.33,0.6496887,0.0,45.5,9.25
2026-03-04 03:00:00,-1.0162354,-0.95225525,279.16617,280.7835,37.950806,434.82153,101157.13,0.7382202,4.7683716e-07,45.5,9.25
2026-03-04 04:00:00,-0.99458313,-0.24273682,278.97797,280.57693,28.107906,178.84036,101140.66,0.19210815,4.7683716e-07,45.5,9.25
2026-03-04 05:00:00,-1.0180511,-0.047958374,278.66956,280.12042,27.466356,198.4037,101126.41,0.22735596,0.0,45.5,9.25
2026-03-04 06:00:00,-1.0028839,-0.047943115,278.60623,280.05728,27.798416,111.86107,101157.53,0.23782349,0.0,45.5,9.25
2026-03-04 07:00:00,-0.71810913,-0.37669373,278.77582,280.55756,29.494919,555.04297,101176.125,0.2616577,0.0,45.5,9.25
2026-03-04 08:00:00,-0.8699188,-0.04437256,279.18915,281.73727,237.4377,562.41974,101236.37,0.3692932,9.536743e-07,45.5,9.25
2026-03-04 09:00:00,-0.9214325,0.06915283,279.70654,283.32043,355.4194,611.4551,101246.5,0.46850586,0.0,45.5,9.25
2026-03-04 10:00:00,-0.26522827,-0.35984802,280.0418,285.02094,545.39557,734.90106,101231.6,0.7555237,2.9563904e-05,45.5,9.25
2026-03-04 11:00:00,0.2928772,0.05055237,280.60226,286.86548,591.3324,818.14056,101210.805,0.8048401,6.198883e-06,45.5,9.25
2026-03-04 12:00:00,0.70936584,-0.0789032,280.44464,287.81598,603.71124,971.90686,101140.234,0.9992981,1.4305115e-06,45.5,9.25
2026-03-04 13:00:00,0.40486145,-0.23512268,280.37036,288.7201,917.4945,981.6798,101074.69,0.7923584,6.198883e-06,45.5,9.25
2026-03-04 14:00:00,-0.14300537,0.36383057,280.76035,289.1242,967.52527,1054.1516,101015.484,0.5316162,3.33786e-06,45.5,9.25
2026-03-04 15:00:00,-0.35801697,1.0715027,280.69263,289.21777,599.68506,1187.407,100987.62,0.19854736,0.0,45.5,9.25
2026-03-04 16:00:00,-0.36724854,1.2775269,281.4204,289.04565,489.35367,1370.4216,100941.45,0.110443115,0.0,45.5,9.25
2026-03-04 17:00:00,-0.5871124,1.3699951,281.773,288.98688,114.00523,1328.439,100981.48,0.066711426,0.0,45.5,9.25
2026-03-04 18:00:00,-0.84487915,1.1926575,280.05804,285.61078,61.027763,1371.4358,101015.125,0.058532715,0.0,45.5,9.25
2026-03-04 19:00:00,-1.2730103,0.4635315,279.28168,284.11475,51.79765,1261.1654,101060.125,0.04953003,0.0,45.5,9.25
2026-03-04 20:00:00,-1.3561096,0.24914551,279.07538,283.3117,48.3826,736.4754,101111.42,0.044006348,0.0,45.5,9.25
2026-03-04 21:00:00,-1.7982178,0.24484253,279.1037,282.15472,44.202618,704.97394,101155.66,0.19787598,0.0,45.5,9.25
2026-03-04 22:00:00,-1.885498,0.18789673,280.2469,282.01266,64.08423,686.20764,101159.375,0.2730713,0.0,45.5,9.25
2026-03-04 23:00:00,-1.6744995,-0.86654663,279.93976,282.115,64.91584,443.6878,101156.08,0.27676392,0.0,45.5,9.25
2026-03-05 00:00:00,-1.6635895,-1.177185,279.51825,281.64392,80.29725,443.13153,101149.4,0.24227905,0.0,45.5,9.25
2026-03-05 01:00:00,-1.5047302,-0.97909546,278.89142,281.06476,93.30324,297.57886,101138.83,0.3420105,0.0,45.5,9.25
2026-03-05 02:00:00,-1.1277924,-0.49536133,279.63525,281.04938,71.617584,297.27567,101088.58,0.3529358,0.0,45.5,9.25
2026-03-05 03:00:00,-0.7619171,0.28372192,279.6831,281.1018,56.759644,92.22316,101069.95,0.5050659,0.0,45.5,9.25
2026-03-05 04:00:00,-0.77323914,0.7111206,279.79785,281.11002,66.293015,30.187042,101077.016,0.49526978,0.0,45.5,9.25
2026-03-05 05:00:00,-0.91752625,0.44256592,280.27258,281.30453,68.141014,30.166397,101099.03,0.4570923,0.0,45.5,9.25
2026-03-05 06:00:00,-1.0785522,0.03265381,280.34378,281.50616,66.31296,30.149307,101107.35,0.51831055,4.7683716e-07,45.5,9.25
2026-03-05 07:00:00,-1.616745,-0.18823242,280.47867,281.7149,103.239746,457.18723,101120.89,0.87323,0.0,45.5,9.25
2026-03-05 08:00:00,-1.8990173,0.2668152,280.28705,281.97354,307.9595,282.71136,101162.87,0.96728516,0.0,45.5,9.25
2026-03-05 09:00:00,-2.0638428,0.6299591,280.12402,282.6278,393.15494,379.6874,101170.39,1.0,2.3841858e-06,45.5,9.25
2026-03-05 10:00:00,-1.2772827,0.40682983,279.63303,283.59973,364.91705,497.91483,101171.56,1.0,3.6239624e-05,45.5,9.25
2026-03-05 11:00:00,-1.5705566,0.5950165,278.7224,283.85223,499.2288,667.43823,101155.72,1.0,6.914139e-05,45.5,9.25
2026-03-05 12:00:00,-2.0005493,0.51174927,278.21057,284.24988,449.0259,740.41394,101097.83,1.0,3.6239624e-05,45.5,9.25
2026-03-05 13:00:00,-1.7923126,0.9147644,278.3783,284.82092,606.20935,874.19415,101015.37,1.0,6.198883e-06,45.5,9.25
2026-03-05 14:00:00,-1.6703491,1.7946167,279.01688,285.50842,531.81525,1006.75946,100966.95,1.0,2.861023e-06,45.5,9.25
2026-03-05 15:00:00,-1.6271057,1.8612671,278.98682,285.51212,615.2106,991.53784,100941.414,0.9701843,0.0,45.5,9.25
2026-03-05 16:00:00,-1.5163422,1.0661469,279.02863,285.2288,526.7498,1219.9889,100897.95,0.6482239,0.0,45.5,9.25
2026-03-05 17:00:00,-0.9270172,0.27793884,280.48923,284.48776,193.61641,1082.3622,100901.64,0.61169434,0.0,45.5,9.25
2026-03-05 18:00:00,-0.60198975,0.66334534,280.2165,283.9604,115.593346,1078.0747,100923.14,0.7381897,0.0,45.5,9.25
2026-03-05 19:00:00,-0.28286743,0.92263794,279.05875,283.36792,69.593254,749.9878,100939.984,0.83477783,0.0,45.5,9.25
2026-03-05 20:00:00,0.12823486,1.0769348,278.3277,282.36542,32.927452,715.3937,100969.266,0.8545532,0.0,45.5,9.25
2026-03-05 21:00:00,0.44026184,0.28573608,279.1256,282.70145,18.382305,461.90942,100970.65,0.7183838,0.0,45.5,9.25
2026-03-05 22:00:00,-0.8493805,0.20864868,279.80447,281.75555,32.92688,74.93422,100996.32,0.6984253,0.0,45.5,9.25
2026-03-05 23:00:00,-0.7753296,-0.64505005,280.1247,281.60864,32.694664,58.41736,100961.25,0.85092163,0.0,45.5,9.25
2026-03-06 00:00:00,-0.15159607,-0.82447815,280.12665,281.5219,23.804495,58.39688,100945.55,0.9642334,0.0,45.5,9.25
2026-03-06 01:00:00,0.20393372,-0.9484863,279.31598,280.79147,29.127274,43.57057,100919.11,0.9814148,0.0,45.5,9.25
2026-03-06 02:00:00,0.46188354,-0.8756714,279.04572,280.53973,38.282593,30.117676,100899.766,0.99401855,0.0,45.5,9.25
2026-03-06 03:00:00,0.5444336,-0.92378235,279.3775,280.63245,39.525032,30.152344,100880.414,1.0,0.0,45.5,9.25
2026-03-06 04:00:00,0.28311157,-0.7691345,279.21704,280.32587,33.360573,30.179428,100859.766,0.99401855,0.0,45.5,9.25
2026-03-06 05:00:00,0.007293701,-0.093185425,278.7374,279.85522,30.770355,30.06401,100861.125,0.9952698,0.0,45.5,9.25
2026-03-06 06:00:00,0.056518555,-0.65267944,278.58203,279.9154,20.113598,69.317856,100881.28,0.96099854,0.0,45.5,9.25
2026-03-06 07:00:00,-0.2921753,-1.2003174,278.3563,279.88702,33.426414,346.6482,100928.59,0.9812012,0.0,45.5,9.25
2026-03-06 08:00:00,-0.41532898,-0.9087372,278.90674,280.8197,86.25383,187.93915,100938.1,0.9373474,0.0,45.5,9.25
2026-03-06 09:00:00,-0.76608276,-0.30682373,279.8724,282.38974,264.72513,370.93875,100940.29,0.94229126,0.0,45.5,9.25
2026-03-06 10:00:00,-1.4558868,0.26805115,279.81238,285.0425,529.8055,624.41345,100962.65,0.8845215,0.0,45.5,9.25
2026-03-06 11:00:00,-1.95018,1.1456299,280.45694,286.58118,683.4441,747.87836,100920.91,0.8641968,0.0,45.5,9.25
2026-03-06 12:00:00,-1.8838348,1.489624,279.9782,287.59485,747.06116,787.3517,100919.16,0.8015137,4.7683716e-07,45.5,9.25
