time,PM25,Unit,T2M,U10,V10,SP,TP,BLH,GP_500,GP_850,T_500,T_850,U_500,U_850,V_500,V_850
2026-03-01 00:00:00,36.062183,ug.m-3,283.19373,-1.2540283,-0.5723114,100798.67,0.0,31.963226,55447.754,15084.211,250.34264,275.17697,9.574036,-0.010620117,14.2812805,1.9727936
2026-03-01 01:00:00,25.287216,ug.m-3,282.90924,-0.8356018,-0.6148834,100813.67,0.0,22.768602,55419.7,15094.523,250.10312,275.4478,10.27684,0.26104736,11.280548,1.7834778
2026-03-01 02:00:00,26.743391,ug.m-3,282.85132,-0.7748413,0.4440155,100812.016,9.536743e-07,28.508335,55359.223,15084.656,249.8767,275.47516,9.741043,0.07400513,9.810852,1.2490845
2026-03-01 03:00:00,30.829412,ug.m-3,282.7173,-0.7163391,0.23466492,100841.195,1.9073486e-06,39.850513,55338.402,15095.711,249.70064,275.30075,9.322769,-0.27830505,9.539322,0.77937317
2026-03-01 04:00:00,33.40903,ug.m-3,282.7107,-1.0957794,0.17622375,100856.266,5.2452087e-06,47.587524,55323.098,15091.621,249.47983,275.04828,9.351929,-0.9198761,9.568161,0.44003296
2026-03-01 05:00:00,45.526115,ug.m-3,282.703,-1.4004059,-0.13841248,100861.08,6.67572e-06,65.21486,55307.85,15081.527,249.28171,274.86044,9.384903,-1.3813629,9.57193,0.11164856
2026-03-01 06:00:00,45.983295,ug.m-3,282.62634,-1.6480255,-0.39463806,100899.97,2.861023e-06,96.78597,55315.043,15100.91,249.12534,274.77585,8.750961,-1.6464081,9.686996,-0.082336426
2026-03-01 07:00:00,47.228165,ug.m-3,282.59164,-2.114334,-0.58273315,100929.11,1.1444092e-05,135.63661,55303.965,15117.297,248.99924,274.8416,8.000458,-1.7640991,10.09436,0.22846985
2026-03-01 08:00:00,52.1715,ug.m-3,282.77997,-2.209015,-0.41531372,100997.36,4.2915344e-06,199.91359,55325.67,15166.453,248.94133,274.8871,7.39859,-1.83255,10.542572,0.7056122
2026-03-01 09:00:00,54.74085,ug.m-3,282.811,-2.5764923,-0.17929077,101014.69,5.722046e-06,268.47574,55316.99,15178.664,249.00662,274.91394,7.230362,-2.0365295,11.188309,1.1477661
2026-03-01 10:00:00,46.948944,ug.m-3,283.44806,-2.516327,0.35028076,101048.92,2.7656555e-05,256.6872,55341.11,15195.609,249.18973,275.08585,8.886368,-0.4459381,11.102661,2.2855682
2026-03-01 11:00:00,49.51665,ug.m-3,283.7862,-2.4837189,0.348114,101058.1,3.1471252e-05,280.9931,55348.996,15208.922,249.31438,275.1754,8.796646,0.041275024,11.122299,2.7915955
2026-03-01 12:00:00,36.697163,ug.m-3,284.13446,-2.8464203,0.43870544,101014.17,2.7179718e-05,329.6452,55317.055,15181.117,249.2634,275.3391,8.054901,0.17492676,11.063492,2.684967
2026-03-01 13:00:00,30.705128,ug.m-3,284.68933,-2.9384155,0.30940247,100958.516,4.1007996e-05,404.7103,55267.742,15140.699,249.17758,275.3308,7.346695,-0.2745819,10.862854,2.4675293
2026-03-01 14:00:00,41.791103,ug.m-3,285.00455,-2.918396,0.28897095,100932.664,1.7166138e-05,459.2518,55242.477,15123.242,249.18501,275.37698,7.0071716,-0.55851746,10.62439,2.626831
2026-03-01 15:00:00,34.493423,ug.m-3,285.09003,-2.664215,0.46720886,100929.31,7.6293945e-06,499.39517,55222.152,15123.129,249.05223,275.4248,6.7233734,-0.4008484,10.0421295,2.6554108
2026-03-01 16:00:00,36.43752,ug.m-3,284.94525,-2.4237213,0.67626953,100905.81,5.722046e-06,458.6569,55178.668,15102.441,248.9427,275.37598,6.35585,-0.29656982,8.948166,2.5110016
2026-03-01 17:00:00,30.504715,ug.m-3,284.65192,-1.7467041,0.4237671,100920.55,6.67572e-06,345.77844,55161.94,15109.113,248.9251,275.20758,5.894516,-0.47914124,7.3248596,2.3727417
2026-03-01 18:00:00,35.936275,ug.m-3,284.34473,-1.7753601,0.22834778,100935.24,7.1525574e-06,260.6409,55137.703,15114.359,248.92421,274.9123,5.037903,-0.56126404,5.744034,2.3925476
2026-03-01 19:00:00,35.706882,ug.m-3,284.08865,-1.8518066,-0.19438171,100971.06,1.001358e-05,213.53156,55131.773,15137.828,248.71083,274.60083,4.05571,-0.6079407,4.756912,2.6046295
2026-03-01 20:00:00,53.832523,ug.m-3,283.8349,-1.8465271,-0.34017944,101000.66,0.00018548965,190.64543,55120.4,15156.098,248.34738,274.28467,3.4080505,-0.20310974,4.3727264,2.8565521
2026-03-01 21:00:00,43.49499,ug.m-3,283.69547,-1.9797974,-0.40957642,101030.9,0.00020265579,186.73602,55124.42,15175.523,247.99815,274.18427,3.3385925,0.14971924,4.21257,2.8430786
2026-03-01 22:00:00,47.779373,ug.m-3,283.34534,-1.7091675,-0.4368286,101012.055,0.00017929077,76.62172,55085.49,15196.801,247.63956,274.16885,4.417282,0.077819824,5.5335083,2.5420837
2026-03-01 23:00:00,42.48977,ug.m-3,283.2547,-1.3770294,0.18989563,100963.984,0.00013446808,100.022644,55073.91,15159.348,247.47786,274.24194,5.0360413,0.60357666,4.4960785,2.96846
2026-03-02 00:00:00,51.305275,ug.m-3,283.11884,-0.9343109,0.18411255,100934.62,0.00019741058,68.01007,55023.688,15122.145,247.27078,274.39008,5.02507,1.5018921,3.6356354,2.8146057
2026-03-02 01:00:00,46.425392,ug.m-3,282.9463,-1.3629303,0.07345581,100949.96,0.000106334686,45.170265,55015.84,15122.879,247.14262,274.56015,4.7423553,2.1032715,3.155136,1.8325195
2026-03-02 02:00:00,52.634945,ug.m-3,282.70862,-1.3239441,-0.03526306,100907.86,0.00011634827,38.593334,54952.215,15078.324,247.0007,274.48972,4.1895294,2.1130676,2.7512817,1.3361206
2026-03-02 03:00:00,48.046932,ug.m-3,282.42365,-1.0239868,-0.019317627,100893.84,7.104874e-05,54.474808,54918.29,15064.273,246.84224,274.37122,3.8068848,1.7980194,2.2031403,1.0873871
2026-03-02 04:00:00,36.2969,ug.m-3,282.41785,-1.1844635,0.11341858,100900.01,5.1498413e-05,68.31003,54901.242,15066.215,246.7074,274.17194,2.9500732,1.1995544,1.4150391,0.9638214
2026-03-02 05:00:00,45.59768,ug.m-3,282.3886,-1.2371521,0.31214905,100889.414,8.6307526e-05,81.71339,54871.0,15054.641,246.60417,274.03772,1.8341217,0.5197296,0.86938477,1.0063629
2026-03-02 06:00:00,37.363792,ug.m-3,282.54852,-1.1994324,0.22877502,100916.52,0.00010108948,79.4514,54874.254,15071.559,246.51927,273.92285,0.93229675,-0.11898804,0.9170532,1.123291
2026-03-02 07:00:00,40.28416,ug.m-3,282.74045,-1.3185425,0.32048035,100924.15,0.00013256073,111.19192,54861.74,15071.129,246.4481,273.8203,0.33621216,-0.5944977,1.0917358,1.4322205
2026-03-02 08:00:00,40.489822,ug.m-3,283.2533,-1.1295013,0.40098572,100991.08,0.00029563904,180.9571,54904.74,15120.73,246.39333,273.88007,0.13813782,-0.26919556,1.3299103,1.700531
2026-03-02 09:00:00,46.056458,ug.m-3,283.5562,-1.289093,0.8236847,101009.17,0.000269413,314.84708,54901.242,15133.41,246.36272,273.82596,0.3061676,-0.3028717,1.3553467,2.094986
2026-03-02 10:00:00,45.126137,ug.m-3,284.25018,-1.6780853,0.6777649,100987.99,0.00014925003,360.82986,54908.26,15123.996,246.33034,274.48645,1.3695831,0.679657,-1.2020111,5.153534
2026-03-02 11:00:00,39.17589,ug.m-3,284.50714,-1.8929596,0.62171936,100997.484,0.0002861023,220.64049,54941.953,15145.414,246.56845,274.37927,2.2186432,2.1559296,-1.7533569,5.8793335
2026-03-02 12:00:00,33.95537,ug.m-3,285.1834,-1.7245636,0.2897339,100971.68,0.00033283234,334.33066,54946.312,15139.164,246.52722,274.60992,3.2076874,3.08078,-2.2933197,5.525238
2026-03-02 13:00:00,31.637447,ug.m-3,285.87097,-1.750061,-0.3425293,100912.58,0.00025129318,486.06955,54958.668,15102.797,246.71826,274.86267,4.387863,3.3777466,-2.91214,4.986313
