datetime,R_roi,G_roi,B_roi,S_mean,B_R_ratio,contrast,image_path
2026-03-01 03:00:00,86.92731732243229,103.46719468574348,122.42210526315787,0.2900216703749843,1.408327182130107,19.237125471357352,data/raw/images/20260301-0400.jpg
2026-03-01 04:00:00,86.5765457332652,103.94581502299438,123.10278487480838,0.2957339085648866,1.4218952998215248,14.599862337535772,data/raw/images/20260301-0500.jpg
2026-03-01 05:00:00,88.3017271333674,103.31848748083802,121.7608175779254,0.273551853851018,1.378917719413404,13.72578278411384,data/raw/images/20260301-0600.jpg
2026-03-01 06:00:00,97.63492079713848,127.31136944302504,157.80347470618293,0.3817188850861511,1.6162605735892328,17.681083686880374,data/raw/images/20260301-0700.jpg
2026-03-01 07:00:00,112.16365355135412,144.06316811446092,172.77582524271844,0.3528730325596741,1.5403904761645677,21.162996067664544,data/raw/images/20260301-0800.jpg
2026-03-01 08:00:00,109.87636177823198,141.50792539601431,170.27402146142057,0.3562433957239517,1.5496874592135133,16.778180515728177,data/raw/images/20260301-0900.jpg
2026-03-01 09:00:00,109.48807358201329,141.2661216147164,169.47977005620848,0.3558732672491643,1.5479290388768114,21.982301331122663,data/raw/images/20260301-1000.jpg
2026-03-01 10:00:00,113.12785896780788,143.6703628002044,170.07870720490547,0.3413742545940663,1.5034201765445203,34.43680268590597,data/raw/images/20260301-1100.jpg
2026-03-01 11:00:00,122.17587123147676,152.1560143076137,178.4802401635156,0.3259685969090706,1.460846866927731,41.22807201828255,data/raw/images/20260301-1200.jpg
2026-03-01 12:00:00,117.91768012263668,146.92833418497702,171.65709759836486,0.3258147964004491,1.4557367136471937,41.548927358233904,data/raw/images/20260301-1300.jpg
2026-03-01 13:00:00,120.21029126213593,150.3202401635156,173.4946090955544,0.3417447592751523,1.4432591904628629,56.5551407978651,data/raw/images/20260301-1400.jpg
2026-03-01 14:00:00,108.66019417475728,138.78523249872254,162.59161471640266,0.3743614664303004,1.4963309651239622,55.25416130689902,data/raw/images/20260301-1500.jpg
