date,hour,R_roi,G_roi,B_roi,S_mean,B_R_ratio,contrast,image_path
2025-01-29,16:00,72.89029126213592,102.64311190597854,127.90583035258048,0.44505907360879055,1.7547718136811932,39.29721148941373,Images/20250129-1600.jpg
2025-01-29,17:00,77.45636688809402,108.50577414409811,131.5828002043945,0.40914223405325534,1.698798998611712,45.872099904166106,Images/20250129-1700.jpg
2025-01-29,18:00,61.86531936637711,81.2099386816556,99.88921819110884,0.43967729611934303,1.6146237924502393,37.84759691444453,Images/20250129-1800.jpg
2025-01-29,19:00,76.28597342871743,96.94593254982115,117.473484925907,0.3845571318417558,1.539909345140183,39.75875314807148,Images/20250129-1900.jpg
2025-01-29,20:00,82.09190597853858,102.34281042411855,122.67087378640777,0.34902122673620334,1.4943114163309401,36.31898291377635,Images/20250129-2000.jpg
2025-01-29,21:00,79.78163004598876,98.66784363822177,118.57724578436383,0.34391747139037,1.4862725194977775,33.71607009854282,Images/20250129-2100.jpg
2025-01-29,22:00,80.66691875319367,97.83806847215125,118.24547777210016,0.33347532213852876,1.46584843122659,30.8005708928253,Images/20250129-2200.jpg
2025-01-29,23:00,81.39655595298927,96.94184466019418,116.31726622381196,0.3181406457741404,1.4290194890060424,30.627028424793806,Images/20250129-2300.jpg
2025-01-30,04:00,90.8207715891671,105.02020439448135,122.82564128768523,0.2824070556539513,1.3523959088444883,34.097171502550296,Images/20250130-0400.jpg
2025-01-30,05:00,87.02356668369954,103.57960143076137,122.29159938681656,0.30543436801363283,1.4052698900061655,32.373595759549566,Images/20250130-0500.jpg
2025-01-30,06:00,88.85271333673991,105.55534491568727,123.9922892181911,0.2991805268762618,1.3954811638986842,32.51680129092288,Images/20250130-0600.jpg
2025-01-30,07:00,86.02902401635156,103.6673326520184,122.48270311701584,0.3146473992381379,1.4237369666079038,32.51265020618672,Images/20250130-0700.jpg
2025-01-30,08:00,109.06490546755238,138.37977005620849,165.9147879407256,0.36578887692957335,1.5212481568494858,47.25421145957641,Images/20250130-0800.jpg
2025-01-30,09:00,108.53710270822688,140.50866121614717,169.75840572304548,0.37787750941773673,1.5640587404966673,45.745343724695395,Images/20250130-0900.jpg
2025-01-30,10:00,119.52747061829331,147.47692897291773,171.25336739908022,0.32787924798262835,1.432753199582199,49.37093176778232,Images/20250130-1000.jpg
2025-01-30,11:00,111.42988247317322,139.5511037301993,163.5540112416965,0.34449186599932485,1.4677751258805918,47.23140983140542,Images/20250130-1100.jpg
2025-01-30,12:00,123.11732754215636,150.0971946857435,172.20737353091465,0.314083004087406,1.3987257161119238,50.97828932607708,Images/20250130-1200.jpg
2025-01-30,13:00,120.6777567705672,144.8738221768012,163.35414409810934,0.30447866707185584,1.3536392050694095,52.65727337753178,Images/20250130-1300.jpg
2025-01-30,14:00,139.9609862033725,168.9912570260603,191.3680889115994,0.3046434821974782,1.3672959353561074,59.070624397601726,Images/20250130-1400.jpg
2025-01-30,15:00,120.9873019928462,148.94722023505366,169.0571640265713,0.3131375069292842,1.3973132704393567,55.19748643924934,Images/20250130-1500.jpg
2025-02-03,14:00,125.78654062340317,153.17368932038835,180.56642820643842,0.322738855090332,1.4354987892666826,48.417591467662405,Images/20250203-1400.jpg
2025-02-03,15:00,98.58672457843639,130.6267756770567,156.09732243229433,0.3798272238679411,1.5833503092472836,43.51520819527813,Images/20250203-1500.jpg
2025-02-03,16:00,78.54850792028616,107.2060143076137,130.1509402146142,0.40610869711536607,1.6569498518004466,36.16300939792465,Images/20250203-1600.jpg
2025-02-03,17:00,83.67998978027593,111.14518650996423,135.0814716402657,0.38415282533609574,1.6142625062538312,41.699124374155026,Images/20250203-1700.jpg
2025-02-03,18:00,62.721446090955546,97.80316300459887,125.68500766479305,0.5221614289646136,2.0038601386624717,34.08630611768226,Images/20250203-1800.jpg
2025-02-03,19:00,82.19733776188043,98.85248850281043,118.42122125702606,0.3214277812499826,1.4406941032492977,29.47613252364049,Images/20250203-1900.jpg
2025-02-03,20:00,74.21363822176801,92.3056821665815,113.57669391926417,0.3645445867977291,1.5304018925668097,29.681369090562427,Images/20250203-2000.jpg
2025-02-03,21:00,72.04440470107308,91.60655084312724,114.66187531936637,0.3924058760868445,1.591544467659597,31.912929941865617,Images/20250203-2100.jpg
2025-02-03,22:00,78.60624425140522,95.60411343893715,119.97140521205928,0.3589600015598034,1.5262324873597064,29.684576776500133,Images/20250203-2200.jpg
2025-02-03,23:00,78.57539601430761,93.21391415431783,114.29506387327542,0.3298190462231263,1.4545909816079414,28.737827080061138,Images/20250203-2300.jpg
2025-02-04,04:00,91.8422278998467,106.28585590189064,126.36616249361268,0.2832384097830031,1.3759047881058515,28.218079376572838,Images/20250204-0400.jpg
2025-02-04,05:00,90.48741440981094,106.64258048032703,125.97029126213592,0.2926692054435618,1.3921305044643568,28.905016018846606,Images/20250204-0500.jpg
