time,R_roi,G_roi,B_roi,S_mean,B_R_ratio,contrast,image_path,PM25,Unit,T2M,D2M,RH,U10,V10,SP,TP,BLH,TCC,CBH,WS10,GP_500,GP_850,T_500,T_850,U_500,U_850,V_500,V_850,temperature_mean,wind_direction_mean,relative_humidity_mean,wind_speed_mean,wind_gust_max
2026-03-01 14:00:00,108.6579407256004,138.78509453244763,162.59330608073583,0.3744401772956932,1.4963775633753602,55.25853853003059,data\raw\images\20260301-1500.jpg,41.791103,ug.m-3,285.00455,282.3261,83.65519559332624,-2.918396,0.28897095,100932.664,1.7166138e-05,459.2518,0.98999023,616.79126,2.932667629098105,55242.477,15123.242,249.18501,275.37698,7.0071716,-0.55851746,10.62439,2.626831,11.8,93.0,83.5,2.2,4.9
2026-03-01 15:00:00,71.67544200306591,98.26152784874807,121.91945835462442,0.421196775980071,1.7009934399625453,27.957301241467057,data\raw\images\20260301-1600.jpg,34.493423,ug.m-3,285.09003,282.5307,84.33828514381067,-2.664215,0.46720886,100929.31,7.6293945e-06,499.39517,1.0,544.8778,2.704870733526373,55222.152,15123.129,249.05223,275.4248,6.7233734,-0.4008484,10.0421295,2.6554108,12.2,91.0,80.6,1.8,4.1
2026-03-01 16:00:00,76.76499233520695,104.736060296372,131.2987583035258,0.4211142205608998,1.7103988758285722,23.83606576407714,data\raw\images\20260301-1700.jpg,36.43752,ug.m-3,284.94525,282.32605,83.98269391872181,-2.4237213,0.67626953,100905.81,5.722046e-06,458.6569,0.9880676,532.2622,2.5162999458093447,55178.668,15102.441,248.9427,275.37598,6.35585,-0.29656982,8.948166,2.5110016,12.3,97.0,79.9,1.6,3.4
2026-03-01 17:00:00,100.23370464997446,133.56756770567193,166.4864997445069,0.4030601754056068,1.6609831858945077,37.882472532401245,data\raw\images\20260301-1800.jpg,30.504715,ug.m-3,284.65192,282.17212,84.74186224689495,-1.7467041,0.4237671,100920.55,6.67572e-06,345.77844,0.99664307,462.1175,1.7973741313369402,55161.94,15109.113,248.9251,275.20758,5.894516,-0.47914124,7.3248596,2.3727417,12.3,99.0,80.9,1.9,3.6
2026-03-01 18:00:00,82.77635666836996,103.1613030148186,124.8100306591722,0.3447131111137826,1.507798049766859,32.91563598019857,data\raw\images\20260301-1900.jpg,35.936275,ug.m-3,284.34473,282.26373,87.01823742729124,-1.7753601,0.22834778,100935.24,7.1525574e-06,260.6409,0.9840393,391.3224,1.789984970133252,55137.703,15114.359,248.92421,274.9123,5.037903,-0.56126404,5.744034,2.3925476,12.0,75.0,83.5,1.6,3.5
2026-03-01 19:00:00,83.97061318344404,102.9406387327542,125.60101686254472,0.3401408782047143,1.4957734688965592,33.38410484889488,data\raw\images\20260301-2000.jpg,35.706882,ug.m-3,284.08865,282.1397,87.77228991858662,-1.8518066,-0.19438171,100971.06,1.001358e-05,213.53156,0.98999023,557.9088,1.8619806478548813,55131.773,15137.828,248.71083,274.60083,4.05571,-0.6079407,4.756912,2.6046295,11.8,54.0,84.9,1.3,2.7
2026-03-01 20:00:00,88.33613183444047,108.8413336739908,141.9639703628002,0.3796539423512272,1.6070883545340275,35.02553261778546,data\raw\images\20260301-2100.jpg,53.832523,ug.m-3,283.8349,282.11432,89.11268359267449,-1.8465271,-0.34017944,101000.66,0.00018548965,190.64543,0.9611206,1178.1947,1.8776006983469955,55120.4,15156.098,248.34738,274.28467,3.4080505,-0.20310974,4.3727264,2.8565521,11.7,74.0,84.5,1.9,3.7
2026-03-01 21:00:00,87.6727593254982,103.14304036791006,128.65327542156362,0.3218501176906425,1.467425856604938,24.909997006341776,data\raw\images\20260301-2200.jpg,43.49499,ug.m-3,283.69547,281.66534,87.25597392418935,-1.9797974,-0.40957642,101030.9,0.00020265579,186.73602,0.8161621,1265.1887,2.021719710757843,55124.42,15175.523,247.99815,274.18427,3.3385925,0.14971924,4.21257,2.8430786,11.5,77.0,85.8,1.6,3.6
2026-03-01 22:00:00,90.44065917220234,107.6588758303526,131.5808022483393,0.3154524468085052,1.454885468524938,23.81286095511221,data\raw\images\20260301-2300.jpg,47.779373,ug.m-3,283.34534,281.6353,89.136394353742,-1.7091675,-0.4368286,101012.055,0.00017929077,76.62172,0.95700073,1258.6592,1.7641067906547525,55085.49,15196.801,247.63956,274.16885,4.417282,0.077819824,5.5335083,2.5420837,11.2,79.0,87.3,1.8,3.9
2026-03-03 03:00:00,84.3417884517118,98.32816044966786,119.31319366377107,0.299021825702488,1.4146391064192614,24.78421073572062,data\raw\images\20260303-0400.jpg,36.88786,ug.m-3,282.31757,280.01376,85.50673196973648,-1.0285034,-0.99842834,101104.09,4.4345856e-05,26.307983,0.40344238,283.4019,1.4334149412946398,55171.746,15233.457,248.8448,274.4214,12.305313,1.7836761,-3.886383,1.1810303,10.5,346.0,89.8,,1.3
2026-03-03 04:00:00,84.5011957077159,100.4364997445069,121.10356668369954,0.3076256640838438,1.4331580072479784,24.74539611439617,data\raw\images\20260303-0500.jpg,41.105724,ug.m-3,281.79294,279.64304,86.3607486137966,-0.44056702,-0.08894348,101146.65,0.00011539459,16.255644,0.48660278,356.12262,0.4494554947335618,55200.664,15261.543,248.77457,274.36066,11.759171,1.8430939,-4.52861,0.52841187,10.1,329.0,92.8,,1.7
2026-03-03 05:00:00,86.15886561062851,102.55786918753194,123.82941747572816,0.3098977510318329,1.4372219870920706,25.390155194144693,data\raw\images\20260303-0600.jpg,39.34491,ug.m-3,281.1037,278.976,86.42343687753308,0.685318,-0.20852661,101144.3,9.393692e-05,19.217321,0.576416,336.7448,0.7163407765875764,55207.523,15253.816,248.74742,274.4066,11.549179,1.7662048,-4.994919,-0.2028656,9.5,317.0,95.9,0.5,1.1
2026-03-03 06:00:00,107.78975983648442,140.79888094021462,171.6374399591211,0.3764728655123566,1.5923352888730566,29.478780997332613,data\raw\images\20260303-0700.jpg,39.375263,ug.m-3,280.96854,278.5115,84.45912710839593,0.26887512,-0.6721344,101167.484,0.00010061264,18.710062,0.7351074,226.13002,0.7239188364853995,55234.844,15270.75,248.7447,274.49945,11.212631,1.2411346,-5.3977966,-0.7690735,9.5,354.0,95.1,0.5,1.2
2026-03-03 07:00:00,117.45176801226368,145.04589678078693,168.6814256515074,0.3129187299406848,1.4361761178232626,31.380845783833266,data\raw\images\20260303-0800.jpg,38.800594,ug.m-3,280.9949,278.94757,86.89439220136273,0.09043884,-0.6675873,101189.95,3.9100647e-05,19.885962,0.5627136,255.21832,0.6736853767908545,55258.227,15286.781,248.7414,274.53918,10.836639,0.7200928,-5.4254913,-0.9139404,9.3,328.0,94.7,,1.2
2026-03-03 08:00:00,127.92675012774654,157.35227899846703,180.96661216147163,0.3092736783830653,1.4146111783981752,38.162796977501294,data\raw\images\20260303-0900.jpg,42.21855,ug.m-3,283.01178,280.4687,84.19378578252429,-0.20283508,-0.21141052,101218.2,1.9073486e-06,89.56562,0.63150024,309.69012,0.2929786300146766,55299.37,15309.125,248.7631,274.6879,10.824799,0.33499146,-4.92894,-0.6606293,10.4,352.0,88.7,0.4,1.0
2026-03-03 09:00:00,131.23493101686253,161.93785385794584,185.6062902401635,0.3101250390790334,1.4143055312156882,40.50629826906057,data\raw\images\20260303-1000.jpg,42.040386,ug.m-3,284.85138,281.94394,82.35467010702564,-0.41653442,0.40829468,101246.125,0.0,306.0078,0.4890747,433.73688,0.5832713508831364,55345.477,15334.543,248.88942,274.8231,10.916672,0.2157135,-4.053238,-0.32911682,11.4,67.0,82.2,,1.2
2026-03-03 10:00:00,133.11853346959631,160.85092999489015,182.42003576903423,0.2938315007739415,1.370357903171614,45.76737048254176,data\raw\images\20260303-1100.jpg,55.801586,ug.m-3,285.3745,281.47894,77.10047760910764,-0.75315857,0.86746216,101236.74,6.866455e-05,388.85858,0.522522,506.1194,1.1487986901961154,55365.9,15354.867,248.49225,275.16638,11.267395,0.94970703,-3.729538,1.127945,12.5,143.0,76.9,,2.6
2026-03-03 11:00:00,115.47765968318856,146.37931016862544,171.72513030148187,0.3464260544533621,1.487085288059372,40.377900462925545,data\raw\images\20260303-1200.jpg,36.520554,ug.m-3,288.77527,283.20038,69.43503203821652,-0.8482666,0.74324036,101221.63,0.00010204315,426.6448,0.54122925,714.5189,1.1278131305355907,55405.95,15360.008,248.66579,274.9934,11.385162,1.4678802,-3.5106354,0.84606934,12.9,208.0,74.2,0.6,2.7
