time,R_roi,G_roi,B_roi,S_mean,B_R_ratio,contrast,PM25,T2M,D2M,RH,U10,V10,SP,TP,BLH,TCC,CBH,WS10,GP_500,GP_850,T_500,T_850,U_500,U_850,V_500,V_850,temperature_mean,wind_direction_mean,relative_humidity_mean,wind_speed_mean,wind_gust_max,hour,day,weekday,month,hour_sin,hour_cos,is_daytime,wind_dir_sin,wind_dir_cos
2026-03-03 11:00:00,115.47765968318856,146.37931016862544,171.72513030148187,0.3464260544533621,1.487085288059372,40.377900462925545,36.520554,288.77527,283.20038,69.43503203821652,-0.8482666,0.74324036,101221.63,0.00010204315,426.6448,0.54122925,714.5189,1.1278131305355907,55405.95,15360.008,248.66579,274.9934,11.385162,1.4678802,-3.5106354,0.84606934,12.9,208.0,74.2,0.6,2.7,11,3,1,3,0.258819045102521,-0.9659258262890682,1,-0.46947156278589086,-0.8829475928589269
2026-03-03 12:00:00,129.6938937148697,159.19922330097089,183.4026673479816,0.3102755399749088,1.4141195138845195,44.15548488928943,36.21797,288.98547,282.34897,64.70353443063152,-0.6326599,0.5993042,101199.09,7.343292e-05,579.7104,0.5133667,823.4252,0.8714494094355966,55410.824,15364.254,248.92354,275.1056,10.908386,2.7580109,-3.3441925,0.37086487,14.4,158.0,66.0,0.8,3.2,12,3,1,3,1.2246467991473532e-16,-1.0,1,0.37460659341591224,-0.9271838545667873
2026-03-03 13:00:00,99.58212570260604,130.1320439448135,156.27021972406746,0.3761477401450199,1.5692597145545588,35.37286768076484,37.439793,289.1101,281.88623,62.2178449865579,-0.6515808,0.470932,101123.83,4.5776367e-05,712.4572,0.6208496,871.4576,0.803949306581354,55391.12,15318.195,248.90968,275.30212,10.275848,2.5344696,-3.722412,0.28530884,14.8,193.0,64.7,0.9,3.6,13,3,1,3,-0.2588190451025208,-0.9659258262890683,1,-0.22495105434386498,-0.9743700647852352
2026-03-03 14:00:00,117.78008686765456,147.1451814001022,169.94755748594787,0.3388732844608438,1.4429226583436758,51.35092817893467,44.439285,289.16003,281.85596,61.89308124852479,-0.7689972,0.22254944,101072.77,2.7656555e-05,758.4968,0.44158936,942.4362,0.8005529007205917,55387.2,15291.191,249.01195,275.48642,10.136536,1.7657013,-4.1723022,-0.22486877,15.6,173.0,60.2,0.9,3.8,14,3,1,3,-0.4999999999999997,-0.8660254037844388,1,0.12186934340514755,-0.992546151641322
2026-03-03 15:00:00,90.18540623403167,116.32605518650996,137.86055186509964,0.3740838184916758,1.528634799057354,42.37596208686019,37.522778,289.1456,281.87164,62.01580634795146,-0.63705444,0.621933,101030.445,3.0040741e-05,655.12646,0.19128418,1019.97455,0.8903027664860497,55371.14,15265.891,249.13947,275.4448,10.096893,1.2184143,-4.4513245,-0.45140076,16.5,189.0,55.9,1.0,5.1,15,3,1,3,-0.7071067811865471,-0.7071067811865479,1,-0.15643446504023073,-0.9876883405951378
2026-03-03 16:00:00,80.47200817577925,109.26184466019416,137.07983648441493,0.4360061542796667,1.7034474208912098,37.90321968248184,28.243483,288.6041,281.72327,63.560849108374974,-0.57247925,1.2481995,101028.05,3.8146973e-06,274.93097,0.23529053,1098.612,1.3732204788309894,55377.12,15270.773,249.1815,276.13223,10.134689,0.5276489,-4.2961884,-0.5764923,15.6,196.0,58.0,1.2,4.1,16,3,1,3,-0.8660254037844385,-0.5000000000000004,1,-0.275637355816999,-0.9612616959383189
2026-03-03 17:00:00,86.38658661216147,124.54220235053654,163.20968829841595,0.4854873600456089,1.889294308407656,37.93042746520672,24.450586,286.8083,282.84064,76.95299866319054,-0.6804199,1.4080505,101053.42,0.0,123.57883,0.25457764,1161.2357,1.563834214636021,55395.53,15286.027,249.1902,275.86548,10.288467,-0.06163025,-3.6773682,-0.64637756,14.8,201.0,62.1,1.3,3.3,17,3,1,3,-0.9659258262890683,-0.25881904510252063,1,-0.35836794954530043,-0.9335804264972017
2026-03-03 18:00:00,83.42201328564128,102.96532958610118,122.03876341338784,0.3300143973948246,1.4629083756659342,34.66368184173882,26.642273,284.79968,281.49078,80.1408521825264,-0.97190857,1.1644897,101075.67,0.0,68.066345,0.2347107,1922.2693,1.51678690983458,55414.656,15294.84,249.21912,275.78995,10.6262665,-0.6998596,-3.1711884,-0.34414673,13.8,199.0,66.4,1.4,3.1,18,3,1,3,-1.0,-1.8369701987210297e-16,1,-0.32556815445715676,-0.9455185755993167
2026-03-03 19:00:00,81.57479305058763,101.55236075625956,123.62918753193664,0.3505376502376701,1.5155317150450849,33.40213150073802,34.27865,283.16885,280.91486,85.8880673855208,-1.5738373,0.36260986,101137.53,0.0,49.59504,0.21478271,768.3188,1.6150695828479062,55447.207,15333.359,249.23293,275.7237,10.689194,-0.63679504,-3.0805817,0.35151672,13.2,165.0,71.1,0.7,2.9,19,3,1,3,-0.9659258262890684,0.2588190451025203,0,0.258819045102521,-0.9659258262890682
2026-03-03 20:00:00,81.5881655595299,100.7173173224323,122.64605518650995,0.3436320864551715,1.503233377563677,31.48455523242708,29.505129,282.5435,280.5407,87.30963233556572,-1.8140564,-0.04034424,101178.42,0.0,54.617073,0.2854309,662.87415,1.814504968326661,55452.254,15353.398,249.192,275.59634,10.429077,-0.18080139,-3.0351715,0.86442566,12.6,145.0,74.0,0.55,2.3,20,3,1,3,-0.8660254037844386,0.5000000000000001,0,0.5735764363510459,-0.8191520442889919
